"","coexpression_counts"
"COL8A2",6
"TRAPPC3",115
"MAP7D1",94
"THRAP3",106
"SH3D21",1
"EVA1B",112
"AL591845.1",4
"STK40",24
"LSM10",118
"OSCP1",8
"MRPS15",133
"CSF3R",0
"AL596257.1",0
"AC117945.2",0
"AC117945.1",0
"GRIK3",0
"AL031430.1",0
"AL353604.1",0
"LINC01137",13
"ZC3H12A",25
"MEAF6",109
"SNIP1",14
"DNALI1",10
"GNL2",42
"RSPO1",16
"C1orf109",8
"CDCA8",11
"EPHA10",0
"MANEAL",2
"AL929472.3",0
"YRDC",41
"C1orf122",138
"MTF1",17
"AL929472.2",0
"INPP5B",2
"SF3A3",46
"FHL3",47
"UTP11",49
"POU3F1",0
"AL139158.2",0
"AL139158.3",0
"LINC01343",0
"LINC01685",0
"AL354702.2",0
"RRAGC",79
"AL139260.1",3
"MYCBP",33
"AL139260.3",0
"GJA9",0
"RHBDL2",3
"AKIRIN1",73
"NDUFS5",152
"MACF1",126
"AL442071.1",0
"BMP8A",0
"PABPC4",137
"AL365277.1",0
"HEYL",0
"AL035404.2",0
"NT5C1A",0
"HPCAL4",0
"PPIE",57
"BMP8B",0
"OXCT2",1
"AL033527.3",0
"AL033527.5",0
"AL033527.4",0
"TRIT1",12
"MYCL",1
"AL033527.2",1
"MFSD2A",9
"CAP1",130
"PPT1",27
"RLF",13
"TMCO2",0
"AL050341.2",2
"ZMPSTE24",70
"COL9A2",0
"SMAP2",29
"AL031985.4",0
"ZFP69B",3
"ZFP69",0
"AL603839.3",3
"EXO5",11
"AL603839.1",0
"AL603839.2",0
"ZNF684",3
"RIMS3",3
"AL031289.1",0
"NFYC-AS1",1
"NFYC",44
"KCNQ4",0
"CITED4",33
"AC119677.1",0
"CTPS1",37
"SLFNL1-AS1",0
"SLFNL1",0
"SCMH1",13
"AC093151.3",1
"FOXO6",2
"AC093151.2",0
"EDN2",0
"HIVEP3",17
"AL445933.2",0
"AC119676.1",0
"GUCA2B",0
"GUCA2A",0
"FOXJ3",27
"RIMKLA",0
"ZMYND12",1
"PPCS",74
"CCDC30",4
"PPIH",47
"AC098484.2",0
"YBX1",152
"CLDN19",0
"P3H1",57
"C1orf50",14
"AC098484.3",0
"AC098484.1",0
"TMEM269",0
"SVBP",54
"ERMAP",12
"AL512353.1",2
"ZNF691",2
"SLC2A1",61
"SLC2A1-AS1",5
"AC099795.1",0
"FAM183A",5
"EBNA1BP2",113
"CFAP57",8
"TMEM125",0
"C1orf210",0
"TIE1",0
"MPL",0
"AL139289.2",0
"CDC20",23
"ELOVL1",77
"MED8",58
"AL139289.1",0
"SZT2",14
"SZT2-AS1",0
"HYI",54
"PTPRF",55
"AL451062.3",0
"KDM4A",17
"KDM4A-AS1",2
"ST3GAL3",10
"AL451062.1",0
"ARTN",0
"AL357079.1",0
"IPO13",23
"DPH2",18
"ATP6V0B",134
"B4GALT2",84
"CCDC24",9
"SLC6A9",28
"AL139220.2",9
"KLF17",1
"KLF18",0
"DMAP1",40
"ERI3",84
"RNF220",41
"TMEM53",15
"ARMH1",0
"KIF2C",8
"AL592166.1",0
"RPS8",153
"BEST4",2
"PLK3",37
"TCTEX1D4",1
"BTBD19",20
"PTCH2",5
"EIF2B3",28
"HECTD3",10
"UROD",79
"ZSWIM5",0
"LINC01144",0
"HPDL",1
"MUTYH",7
"TOE1",9
"TESK2",4
"CCDC163",0
"MMACHC",7
"PRDX1",143
"AKR1A1",115
"NASP",48
"CCDC17",0
"GPBP1L1",41
"TMEM69",26
"IPP",6
"MAST2",18
"PIK3R3",1
"AL358075.4",0
"AL358075.1",0
"AL358075.2",1
"TSPAN1",1
"AL672043.1",0
"POMGNT1",32
"LURAP1",2
"RAD54L",0
"LRRC41",67
"UQCRH",152
"NSUN4",9
"FAAH",1
"DMBX1",0
"AL136373.1",0
"MKNK1-AS1",0
"KNCN",0
"MKNK1",30
"MOB3C",3
"ATPAF1",27
"TEX38",0
"EFCAB14-AS1",0
"EFCAB14",48
"CYP4B1",0
"CYP4A11",0
"CYP4X1",3
"CYP4Z1",0
"CYP4A22-AS1",0
"CYP4A22",0
"LINC00853",0
"PDZK1IP1",3
"TAL1",0
"AL135960.1",0
"STIL",6
"CMPK1",104
"LINC01389",0
"FOXE3",0
"FOXD2-AS1",3
"FOXD2",1
"LINC01738",0
"TRABD2B",6
"AL691459.1",0
"AC096541.1",0
"AL356289.1",0
"AL356289.2",0
"AL109659.1",0
"SLC5A9",0
"AL109659.2",0
"SPATA6",7
"AGBL4",0
"BEND5",0
"AC099788.1",0
"AL590432.1",0
"ELAVL4",0
"AL592182.2",0
"AL592182.1",0
"AL596275.2",0
"AL592182.3",0
"DMRTA2",0
"FAF1",33
"AL049637.1",0
"CDKN2C",28
"C1orf185",0
"LINC01562",0
"RNF11",89
"AL162430.2",0
"TTC39A",1
"TTC39A-AS1",0
"EPS15",65
"AC104170.2",1
"AC104170.1",0
"OSBPL9",32
"NRDC",50
"AL050343.1",1
"AL050343.2",0
"RAB3B",35
"TXNDC12",71
"KTI12",30
"AL445685.1",0
"TXNDC12-AS1",0
"BTF3L4",119
"ZFYVE9",11
"CC2D1B",9
"AL513218.1",1
"ORC1",2
"PRPF38A",23
"TUT4",29
"AL591167.1",0
"GPX7",48
"SHISAL2A",0
"COA7",16
"ZYG11B",44
"ZYG11A",6
"AC099677.4",0
"ECHDC2",61
"SCP2",87
"PODN",66
"AL445183.1",0
"SLC1A7",8
"AL445183.2",11
"CPT2",8
"AL606760.2",0
"C1orf123",65
"AL606760.3",1
"MAGOH",44
"AL606760.1",3
"LRP8",3
"AL355483.4",0
"AL355483.2",0
"AL355483.3",0
"LINC01771",0
"AC119428.1",0
"AC119428.2",0
"DMRTB1",0
"GLIS1",6
"NDC1",14
"YIPF1",16
"DIO1",0
"HSPB11",62
"LRRC42",48
"LDLRAD1",0
"TMEM59",132
"TCEANC2",2
"AL357673.1",0
"CDCP2",0
"AL357673.2",0
"CYB5RL",3
"MRPL37",110
"SSBP3",42
"SSBP3-AS1",0
"AL161644.1",0
"AL035415.1",0
"AC099796.1",0
"ACOT11",0
"FAM151A",0
"MROH7",0
"MROH7-TTC4",0
"TTC4",0
"PARS2",1
"TTC22",0
"AC096536.2",0
"LEXM",0
"DHCR24",60
"AC096536.3",0
"AC096536.1",1
"TMEM61",4
"AL590440.1",0
"BSND",0
"PCSK9",0
"USP24",12
"MIR4422HG",0
"AL603840.1",2
"LINC01753",0
"LINC01755",0
"AL353681.1",0
"AC119674.1",0
"AC119674.2",0
"LINC01767",0
"PLPP3",45
"PRKAA2",7
"FYB2",0
"AL360295.1",0
"C8A",0
"C8B",0
"AL161740.1",0
"DAB1",0
"AL390243.1",0
"DAB1-AS1",0
"AL445193.2",0
"OMA1",5
"TACSTD2",0
"MYSM1",15
"AL136985.3",0
"JUN",79
"LINC01135",0
"AL136985.2",0
"AL136985.1",0
"AC105277.1",0
"LINC01358",0
"AL592431.2",0
"AL592431.1",0
"AC093424.1",1
"FGGY",10
"AL035416.1",0
"HOOK1",0
"CYP2J2",1
"C1orf87",0
"AC097066.1",0
"LINC01748",0
"AC099792.1",0
"NFIA",106
"NFIA-AS2",0
"AC099791.3",0
"TM2D1",86
"AC099791.2",0
"PATJ",3
"L1TD1",0
"KANK4",0
"USP1",27
"DOCK7",24
"ANGPTL3",0
"AC103923.1",0
"ATG4C",11
"AC099794.1",0
"LINC01739",0
"AL162400.1",0
"AL162400.2",0
"AC096543.1",0
"AC096543.2",0
"FOXD3-AS1",0
