"Gene","Correlation"
"NEAT1",0.207343042602524
"RPS10",0.207259672361399
"ZNF667-AS1",0.206547734954689
"NNMT",0.206536478230417
"RPL37A",0.206049023389853
"SMPD1",0.205735253057167
"HCFC1R1",0.205425222389612
"ERGIC3",0.205276902941647
"SOX9",0.205090379086955
"SERPING1",0.205083295320615
"DDAH1",0.203844569496866
"NME2",0.203264239928504
"LYNX1",0.202283452084164
"CD151",0.202197365354894
"PDE1A",0.20179078095151
"SMARCD3",0.201710220565053
"RPL38",0.201107110405198
"ATP5F1E",0.200487236017517
"RPL13A",0.199927795916306
"RPLP2",0.199351197324156
"P4HA1",0.19708704135841
"WEE1",0.197071350904966
"MYL9",0.196907733680503
"PLAT",0.196879932595369
"LARP6",0.196221272341164
"TMEM258",0.195722078393863
"NLRP1",0.195621450439123
"EEF1G",0.195407051856215
"CKB",0.195211562099913
"PLD3",0.195078695889723
"SNHG25",0.193990330024948
"NPC2",0.193935509103729
"PDGFRB",0.193883481691168
"CPE",0.193796105162557
"NRXN3",0.192676599315435
"MYLK",0.192499233265494
"NDUFA3",0.192261635512573
"IRF2BPL",0.191923580465497
"SMAD7",0.191416215500251
"UQCRQ",0.190947206791037
"RPL41",0.190131434957698
"SOD3",0.19003764965744
"TCEAL9",0.189774365505609
"NDUFA13",0.189432026615029
"IFI27L2",0.189312289729161
"NDUFA7",0.189286975374162
"TMED2",0.189208544769469
"GUK1",0.1886364751217
"PPP1R14A",0.187688548183716
"SYNPO",0.187264746693011
"AF015262.1",0.187010583675612
"PET100",0.186996710072937
"ARRDC3",0.186687280502857
"ARL4C",0.186678951644234
"MMP23B",0.18616601067707
"SFRP4",0.186111356643884
"MAGI1",0.186013306126025
"MGP",0.185901823304462
"C9orf16",0.185534145125768
"ERRFI1",0.185503162328977
"JUNB",0.185008048464729
"ROR1",0.184441029078541
"FHL2",0.184248000825636
"OXTR",0.184119579722526
"MMP24OS",0.183816114017482
"GADD45B",0.183423146765605
"FNIP2",0.183408516475245
"IGFBP7",0.183138716171997
"ANKH",0.182659021782286
"MEST",0.182657297413545
"CTGF",0.182613893993206
"SYNGR1",0.182289857282196
"PSAP",0.18196937584464
"SEC61G",0.18186432221229
"CYB5R3",0.181714960521473
"COL4A4",0.181339243492909
"CITED2",0.181335433991189
"OST4",0.181051562054089
"CACNB4",0.180908399097724
"NDUFA1",0.180828624107684
"RHOB",0.180790770903178
"CTSK",0.180586533687738
"HMCN1",0.18051239665963
"LOX",0.179910355141291
"NOTCH3",0.179361668675582
"RPL34",0.17915385089823
"ANTXR1",0.178178596807561
"COL14A1",0.178046941601104
"LMCD1",0.177920483232486
"RPL27A",0.17771004016135
"SHISA4",0.177695324492302
"FST",0.177291372910036
"INMT",0.177098949117427
"ACTA2",0.177036154980108
"GRAMD2B",0.176836845071987
"TRAM1",0.176759627160519
"YAP1",0.176646576667136
"PRRX2",0.176596935241313
"LOXL4",0.176464808048708
"FGF7",0.176454163135632
"MBNL2",0.176385592981401
"RTF1",0.176345823806988
"RBP1",0.176308616286168
"RPL37",0.176163556467353
"MEG3",0.175548959961311
"LIMS2",0.175532857335136
"EDIL3",0.174892375997748
"CRTAP",0.174783687902173
"RPL23A",0.174627046520552
"ITGB8",0.174570850390001
"PDLIM5",0.174489970660952
"ELN",0.173961190972337
"PODN",0.173666678215185
"RNF41",0.173563953405854
"LMOD1",0.173118592516549
"SNHG8",0.173028758346833
"ITGB5",0.172948609244624
"NR4A2",0.172789667184978
"FBN1",0.172716946791922
"FADS2",0.172334180332056
"SMIM14",0.172221769276486
"FKBP8",0.172190527741909
"CRISPLD2",0.172137032739608
"STC2",0.172133924372798
"PCBP2",0.17205192899616
"EBLN3P",0.171592633749428
"ZNF331",0.171057681811811
"EPHB6",0.170789699911632
"TCEA2",0.17071777234295
"EEF2",0.170652609221762
"TNFRSF21",0.17033133019804
"COL5A2",0.170193677751692
"TSPAN8",0.169913553095724
"GPX3",0.169483165831094
"PRKCG",0.169432459808109
"USP53",0.169361048112792
"DSTN",0.169155395326486
"PKD1",0.169109182843472
