"","coexpression_counts"
"TXLNA",46
"CCDC28B",41
"AL049795.1",1
"IQCC",2
"DCDC2B",0
"TMEM234",34
"EIF3I",56
"FAM167B",10
"LCK",0
"HDAC1",53
"MARCKSL1",55
"AL109945.1",0
"TSSK3",0
"FAM229A",4
"BSDC1",36
"AL033529.1",0
"ZBTB8B",0
"ZBTB8A",18
"ZBTB8OS",54
"RBBP4",43
"SYNC",50
"AC114489.1",0
"KIAA1522",8
"YARS",52
"S100PBP",31
"FNDC5",1
"HPCA",0
"TMEM54",48
"RNF19B",20
"AL020995.1",0
"AK2",52
"AZIN2",3
"TRIM62",8
"AL662907.3",0
"ZNF362",13
"AL513327.3",0
"A3GALT2",0
"AL513327.1",0
"PHC2",44
"AL513327.2",0
"ZSCAN20",3
"CSMD2",4
"HMGB4",0
"CSMD2-AS1",0
"C1orf94",0
"SMIM12",54
"GJB5",0
"GJB4",0
"AL121988.1",0
"GJB3",0
"GJA4",0
"AL122010.1",0
"DLGAP3",1
"AC114490.3",2
"AC114490.2",1
"TMEM35B",1
"ZMYM6",26
"ZMYM1",26
"AL590434.1",0
"SFPQ",55
"ZMYM4",50
"ZMYM4-AS1",0
"KIAA0319L",36
"NCDN",28
"AC004865.2",3
"TFAP2E",0
"PSMB2",56
"C1orf216",30
"CLSPN",29
"AL354864.1",0
"AGO4",11
"AGO1",26
"AL139286.2",0
"AGO3",36
"AL138787.2",0
"TEKT2",0
"ADPRHL2",47
"COL8A2",0
"TRAPPC3",56
"MAP7D1",53
"THRAP3",56
"SH3D21",1
"EVA1B",56
"AL591845.1",6
"STK40",23
"LSM10",53
"OSCP1",19
"MRPS15",56
"CSF3R",0
"AL596257.1",0
"AC117945.2",0
"AC117945.1",0
"GRIK3",0
"AL031430.1",0
"AL353604.1",0
"LINC01137",8
"ZC3H12A",45
"MEAF6",55
"SNIP1",22
"DNALI1",21
"GNL2",51
"RSPO1",0
"C1orf109",26
"CDCA8",16
"EPHA10",0
"MANEAL",0
"AL929472.3",0
"YRDC",48
"C1orf122",56
"MTF1",34
"AL929472.2",0
"INPP5B",10
"SF3A3",52
"FHL3",48
"UTP11",51
"POU3F1",0
"AL139158.2",0
"AL139158.3",0
"LINC01343",0
"LINC01685",0
"AL354702.2",0
"RRAGC",52
"AL139260.1",10
"MYCBP",18
"AL139260.3",0
"GJA9",0
"RHBDL2",8
"AKIRIN1",54
"NDUFS5",56
"MACF1",53
"AL442071.1",0
"BMP8A",0
"PABPC4",56
"AL365277.1",0
"HEYL",0
"AL035404.2",0
"NT5C1A",0
"HPCAL4",0
"PPIE",47
"BMP8B",0
"OXCT2",2
"AL033527.3",0
"AL033527.5",0
"AL033527.4",0
"TRIT1",24
"MYCL",0
"AL033527.2",2
"MFSD2A",23
"CAP1",56
"PPT1",49
"RLF",45
"TMCO2",0
"AL050341.2",9
"ZMPSTE24",52
"COL9A2",0
"SMAP2",41
"AL031985.4",0
"ZFP69B",14
"ZFP69",4
"AL603839.3",1
"EXO5",14
"AL603839.1",0
"AL603839.2",0
"ZNF684",6
"RIMS3",1
"AL031289.1",0
"NFYC-AS1",1
"NFYC",33
"KCNQ4",0
"CITED4",13
"AC119677.1",0
"CTPS1",45
"SLFNL1-AS1",2
"SLFNL1",0
"SCMH1",28
"AC093151.3",0
"FOXO6",0
"AC093151.2",0
"EDN2",0
"HIVEP3",36
"AL445933.2",0
"AC119676.1",0
"GUCA2B",0
"GUCA2A",0
"FOXJ3",35
"RIMKLA",0
"ZMYND12",0
"PPCS",47
"CCDC30",2
"PPIH",45
"AC098484.2",1
"YBX1",56
"CLDN19",0
"P3H1",52
"C1orf50",13
"AC098484.3",0
"AC098484.1",0
"TMEM269",0
"SVBP",44
"ERMAP",4
"AL512353.1",2
"ZNF691",8
"SLC2A1",49
"SLC2A1-AS1",2
"AC099795.1",0
"FAM183A",3
"EBNA1BP2",56
"CFAP57",1
"TMEM125",0
"C1orf210",0
"TIE1",19
"MPL",0
"AL139289.2",1
"CDC20",28
"ELOVL1",55
"MED8",48
"AL139289.1",0
"SZT2",22
"SZT2-AS1",0
"HYI",54
