"Gene","Correlation"
"MAP3K5",0.112805489076503
"G6PD",0.112795066416424
"CCS",0.112707462409067
"IFI27L2",0.112697077318471
"TIMP2",0.112642263435905
"PPIB",0.112637370890069
"AC092171.5",0.112538668810821
"NCKIPSD",0.112527528306846
"CD151",0.112489824843611
"CPNE3",0.112459953773987
"TPRA1",0.112383271695759
"ST3GAL2",0.112350624210382
"TSPYL1",0.112347298148611
"STIM1",0.112336716819912
"RAB11B-AS1",0.112299571641301
"NDUFB5",0.11224757671537
"TOMM20",0.112227479389426
"PGAM1",0.112113780067386
"CNIH1",0.11204480649859
"ADGRA2",0.11203769666681
"RPL12",0.111949312913763
"RPS8",0.111935333682663
"SIL1",0.111861585337321
"AL359091.4",0.111850536102618
"FTL",0.111699500176218
"DKK3",0.111633286597794
"LAMC1",0.111588655212049
"NPC2",0.111570047674913
"SEC31A",0.111559748380042
"AP000254.1",0.111510597870303
"SPPL2A",0.111471924161114
"TLN1",0.111288145376803
"MON2",0.111249637652016
"MTHFD2",0.111219541496048
"COX6B1",0.111150345941906
"IGSF6",0.111147044049641
"COPZ2",0.111039009336834
"PAPSS2",0.111004546643965
"EMILIN2",0.110965068398482
"ACBD6",0.110959964818594
"LINC01239",0.110944284239712
"VGLL4",0.110915706843324
"CALR",0.110871931719158
"PLOD1",0.110847192375931
"MFAP2",0.110799407075297
"SLC3A2",0.110680929217651
"COX8A",0.11067342354313
"COX7A2",0.110667265972772
"SLC4A2",0.110634716656592
"ADAM23",0.110494204607052
"TBL2",0.110468618242233
"AP2M1",0.110453531923332
"EMC10",0.110440332906315
"ERBB2",0.110360537850221
"AC112503.1",0.110132648605547
"SEPT9",0.11009273738396
"SYPL1",0.110092199767078
"NOTCH2",0.11004033570173
"GSTT2B",0.110008836886823
"FNDC3B",0.109981568296864
"TBC1D17",0.109978069323282
"ZNF703",0.109977193579416
"CAPNS1",0.109931824578383
"HLA-C",0.109927259634171
"RPL41",0.109896115310215
"SRP19",0.109858498366876
"RPL19",0.109855199936472
"RPL7",0.109813367688424
"AL645608.8",0.109788740348346
"ZNF219",0.109722337021436
"PGRMC2",0.10970860315822
